RespondentID,Celebrate,Main_dish,Main_dish_other,Main_dish_cooked,Main_dish_cooked_other,Stuffing,Stuffing_other,Cranberry_sauce,Cranberry_sauce_other,Gravy,Side_dishes_brussels,Side_dishes_carrots,Side_dishes_cauliflower,Side_dishes_corn,Side_dishes_cornbread,Side_dishes_fruit_salad,Side_dishes_green_beans,Side_dishes_mac_cheese,Side_dishes_mashed_potatoes,Side_dishes_rolls,Side_dishes_squash,Side_dishes_vegetable_salad,Side_dishes_yams,Side_dishes_other_plz_specify,Side_dishes_other,Pie_apple,Pie_buttermilk,Pie_cherry,Pie_chocolate,Pie_coconut_cream,Pie_key_lime,Pie_peach,Pie_pecan,Pie_pumpkin,Pie_sweet_potato,Pie_none,Pie_other_plz_specify,Pie_other,Desserts_apple_cobbler,Desserts_blondies,Desserts_brownies,Desserts_carrot_cake,Desserts_cheesecake,Desserts_cookies,Desserts_fudge,Desserts_ice_cream,Desserts_peach_cobberl,Desserts_none,Desserts_other_plz_specify,Desserts_other,Pray,Travel,Programs,Kids_table,Hometown_friends,Friendsgiving,Black_friday,Retail,Work_on_black_friday,Live,Age,Gender,Money,USRegion
4337954960,1,Turkey,,Baked,,Bread-based,,None,,Yes,,Carrots,,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,,,Yams/sweet potato casserole,,,Apple,,,,,,,,,,,,,,,,,Cheesecake,Cookies,,Ice cream,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,No,No,No,,Suburban,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
4337951949,1,Turkey,,Baked,,Bread-based,,Other (please specify),Homemade cranberry gelatin ring,Yes,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,Other (please specify),Asian vinagrette salad,Apple,,,Chocolate,,,,,Pumpkin,,,Other (please specify),"Derby, Japanese fruit",,,,,Cheesecake,Cookies,,,,,Other (please specify),"Jelly roll, sweet cheeseball, chocolate dipped berries",Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,19,No,No,Yes,No,,Rural,18 - 29,Female,"$50,000 to $74,999",East South Central
4337935621,1,Turkey,,Roasted,,Rice-based,,Homemade,,Yes,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,Cherry,,,,Peach,Pecan,Pumpkin,Sweet Potato,,,,,,Brownies,Carrot cake,,Cookies,Fudge,Ice cream,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,13,Yes,Yes,Yes,No,,Suburban,18 - 29,Male,"$0 to $9,999",Mountain
4337933040,1,Turkey,,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,,,,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,No,No,No,,Urban,30 - 44,Male,"$200,000 and up",Pacific
4337931983,1,Tofurkey,,Baked,,Bread-based,,Canned,,Yes,Brussel sprouts,,,,Cornbread,,,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,Yes,No,No,No,,Urban,30 - 44,Male,"$100,000 to $124,999",Pacific
4337929779,1,Turkey,,Roasted,,Rice-based,,Homemade,,Yes,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,,,,,,,,,,Sweet Potato,,Other (please specify),Blueberry pie,,,,,Cheesecake,,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,20,Yes,Yes,Yes,No,,Urban,18 - 29,Male,"$0 to $9,999",Pacific
4337924420,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,Cookies,,,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,12,No,No,Yes,Yes,No,Rural,18 - 29,Male,"$25,000 to $49,999",East North Central
4337916002,1,Turkey,,Baked,,Rice-based,,Homemade,,Yes,,Carrots,,,,,,,,,,,,,,,,,Chocolate,,,,,,,,,,,,,,,Cookies,,,,,,,No,Thanksgiving is out of town and far away--I have to drive several hours or fly,,21 or older,Yes,Yes,Yes,Yes,Yes,Rural,18 - 29,Male,Prefer not to answer,Mountain
4337914977,1,Turkey,,Roasted,,Bread-based,,Canned,,Yes,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,,,,Apple,Buttermilk,,,,,,,Pumpkin,Sweet Potato,,,,,,,,,Cookies,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,21 or older,Yes,No,No,No,,Urban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
4337899817,1,Other (please specify),Turkey and Ham,Baked,,Bread-based,,Other (please specify),Both Canned and Homemade,Yes,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,Buttermilk,,,,,,,Pumpkin,Sweet Potato,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,Yes,Yes,Suburban,30 - 44,Male,"$25,000 to $49,999",East South Central
4337899680,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",Mountain
4337893416,1,Turkey,,Baked,,Bread-based,,Canned,,No,,,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,Chocolate,,,,Pecan,,,,,,,,,,,,,,,,Other (please specify),Pie,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,12,No,No,No,No,,Suburban,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
4337888291,1,Ham/Pork,,Roasted,,Bread-based,,Canned,,Yes,,,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,Cherry,,,,Peach,,Pumpkin,,,,,,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,21 or older,No,No,No,No,,Suburban,18 - 29,Male,"$0 to $9,999",East North Central
